rank,title,artist,genre,year,bpm,nrgy,dnce,db,val,dur,acous,pop
1,drivers license,Olivia Rodrigo,pop,2021,144,43,56,-9,14,242,77,88
2,MONTERO (Call Me By Your Name),Lil Nas X,lgbtq+ hip hop,2021,179,50,59,-7,71,138,29,84
3,STAY (with Justin Bieber),The Kid LAROI,australian hip hop,2021,170,76,59,-5,48,142,4,88
4,good 4 u,Olivia Rodrigo,pop,2021,167,66,56,-5,69,178,34,91
5,Levitating (feat. DaBaby),Dua Lipa,dance pop,2020,103,80,71,-5,92,203,1,67
6,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,canadian pop,2021,90,70,68,-6,46,198,32,87
7,Kiss Me More (feat. SZA),Doja Cat,dance pop,2021,111,71,76,-3,78,209,26,84
8,Blinding Lights,The Weeknd,canadian contemporary r&b,2020,171,73,51,-6,33,200,0,90
9,Heat Waves,Glass Animals,gauze pop,2020,81,53,76,-7,53,239,44,90
10,Beggin',Måneskin,indie rock italiano,2017,134,80,71,-5,59,212,13,87
11,Astronaut In The Ocean,Masked Wolf,australian hip hop,2021,150,70,78,-7,47,133,18,72
12,DÁKITI,Bad Bunny,latin,2020,110,57,73,-10,14,205,40,81
13,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,lgbtq+ hip hop,2021,150,69,74,-7,89,212,2,85
14,Bad Habits,Ed Sheeran,pop,2021,126,89,81,-4,54,231,5,90
15,Save Your Tears,The Weeknd,canadian contemporary r&b,2020,118,83,68,-5,64,216,2,88
16,Butter,BTS,k-pop,2022,110,46,76,-5,70,165,0,72
17,Leave The Door Open,Bruno Mars,dance pop,2021,148,62,59,-8,72,242,18,84
18,deja vu,Olivia Rodrigo,pop,2021,181,61,44,-7,18,216,58,88
19,Todo De Ti,Rauw Alejandro,puerto rican pop,2021,128,72,78,-4,34,200,30,79
20,Mood (feat. iann dior),24kGoldn,cali rap,2021,91,72,70,-4,73,141,17,84
21,The Business,Tiësto,big room,2020,120,62,80,-7,24,164,41,83
22,Dynamite,BTS,k-pop,2020,114,77,75,-4,74,199,1,86
23,Yonaguni,Bad Bunny,latin,2021,180,65,64,-5,44,207,28,88
24,Watermelon Sugar,Harry Styles,pop,2019,95,82,55,-4,56,174,12,90
25,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton,dance pop,2021,123,86,82,-3,80,169,1,83
26,telepatía,Kali Uchis,colombian pop,2020,84,52,65,-9,55,160,11,82
27,WITHOUT YOU,The Kid LAROI,australian hip hop,2020,93,41,66,-7,47,161,21,81
28,Heartbreak Anniversary,Giveon,pop,2020,89,47,45,-9,54,198,52,82
29,traitor,Olivia Rodrigo,pop,2021,101,34,38,-8,8,229,69,89
30,Pepas,Farruko,latin,2021,130,77,76,-4,44,287,1,78
31,positions,Ariana Grande,dance pop,2020,144,80,74,-5,68,172,47,84
32,Someone You Loved,Lewis Capaldi,pop,2019,110,41,50,-6,45,182,75,85
33,Bandido,Myke Towers,latin,2020,168,62,71,-5,68,233,12,76
34,I WANNA BE YOUR SLAVE,Måneskin,indie rock italiano,2021,133,61,75,-4,96,173,0,84
35,RAPSTAR,Polo G,chicago rap,2021,81,54,79,-7,44,166,41,81
36,LA NOCHE DE ANOCHE,Bad Bunny,latin,2020,82,62,86,-5,39,203,3,82
37,Streets,Doja Cat,dance pop,2019,90,46,75,-8,19,227,21,83
38,Sweater Weather,The Neighbourhood,modern alternative rock,2013,124,81,61,-3,40,240,5,89
39,Fiel,Los Legendarios,reggaeton,2021,98,70,85,-4,51,262,41,77
40,Need to Know,Doja Cat,dance pop,2021,130,61,66,-7,19,211,30,87
41,Don't Start Now,Dua Lipa,dance pop,2020,124,77,80,-6,64,183,1,64
42,Lemonade (feat. Gunna & Don Toliver & NAV),Internet Money,rap,2020,140,66,80,-6,46,195,25,77
43,Woman,Doja Cat,dance pop,2021,108,76,82,-4,88,173,9,92
44,Arcade,Duncan Laurence,dutch pop,2020,72,35,45,-12,28,185,83,74
45,Good Days,SZA,pop,2020,121,66,44,-8,41,279,50,82
46,Qué Más Pues?,J Balvin,latin,2021,102,82,90,-4,73,217,3,75
47,Head & Heart (feat. MNEK),Joel Corry,dance pop,2020,123,87,73,-3,91,166,17,82
48,34+35,Ariana Grande,dance pop,2020,110,59,83,-6,49,174,24,82
49,you broke me first,Tate McRae,pop,2020,124,37,67,-9,8,169,79,84
50,Pareja Del Año,Sebastian Yatra,colombian pop,2021,80,62,72,-5,81,195,16,79
